LOTE;ID_BIOREACTOR;FECHA_INICIO;FECHA_FIN;VOLUMEN_CULTIVO;TURBIDEZ_INICIO_CULTIVO;TURBIDEZ_FINAL_CULTIVO;VIABILIDAD_FINAL_CULTIVO
23019;13171;NA;NA;NA;NA;32,8;134400000,00
23020;13171;NA;NA;NA;NA;32,8;134400000,00
23021;14618;NA;NA;NA;NA;27,84;115200000,00
23022;14618;NA;NA;NA;NA;27,84;115200000,00
23023;14618;27/03/2023 07:22;28/03/2023 07:29;155,2;18,24;31,68;106400000,00
23024;14618;27/03/2023 07:22;28/03/2023 07:29;155,2;18,24;31,68;106400000,00
23025;13172;28/03/2023 07:42;29/03/2023 06:43;157,6;16,96;27,6;84800000,00
23026;13172;28/03/2023 07:42;29/03/2023 06:43;157,6;16,96;27,6;84800000,00
23027;13172;03/04/2023 13:30;04/04/2023 11:35;168;18,88;23,52;104800000,00
23028;13172;03/04/2023 13:30;04/04/2023 11:35;168;18,88;23,52;104800000,00
23029;13172;17/04/2023 08:10;18/04/2023 07:00;162,72;18,4;28;96800000,00
23030;13172;17/04/2023 08:10;18/04/2023 07:00;162,72;18,4;28;96800000,00
23031;14618;17/04/2023 08:30;18/04/2023 07:15;166,08;17,6;28,08;105600000,00
23032;14618;17/04/2023 08:30;18/04/2023 07:15;166,08;17,6;28,08;105600000,00
23033;13172;24/04/2023 13:30;25/04/2023 12:25;165,6;16,96;24,24;104000000,00
23034;13172;24/04/2023 13:30;25/04/2023 12:25;165,6;16,96;24,24;104000000,00
23035;14618;24/04/2023 07:30;25/04/2023 07:30;85,92;18;26,24;81600000,00
23036;13171;21/05/2023 07:50;22/05/2023 07:30;164,4;14,96;21,76;88000000,00
23037;13171;21/05/2023 07:50;22/05/2023 07:30;164,4;14,96;21,76;88000000,00
23038;14618;22/05/2023 07:50;23/05/2023 07:50;168,72;12,32;22,32;115200000,00
23039;14618;22/05/2023 07:50;23/05/2023 07:50;168,72;12,32;22,32;115200000,00
23040;14618;29/05/2023 07:30;30/05/2023 12:00;165,6;13,92;32,32;154400000,00
23041;14618;29/05/2023 07:30;30/05/2023 07:20;165,6;13,92;24,48;107200000,00
23042;13172;30/05/2023 07:30;31/05/2023 06:40;79,2;14,32;24,64;108800000,00
23044;14618;05/06/2023 08:00;06/06/2023 09:20;84;14,48;19,68;75767200,00
23043;14618;11/06/2023 07:35;12/06/2023 07:35;84;13,2;24,24;87200000,00
23045;14618;11/06/2023 07:35;12/06/2023 07:35;81,6;13,2;24,24;87200000,00
23046;13172;12/06/2023 09:00;13/06/2023 07:15;82,8;13,2;23,36;86400000,00
23047;13172;12/06/2023 09:00;13/06/2023 07:15;83,2;13,2;23,36;86400000,00
23048;13171;19/06/2023 07:20;20/06/2023 07:15;165,6;14,16;27,04;86400000,00
23049;13171;19/06/2023 07:20;20/06/2023 07:15;165,6;14,16;27,04;86400000,00
23050;14618;20/06/2023 07:40;21/06/2023 08:00;167,2;14,24;25,2;82400000,00
23051;14618;20/06/2023 07:40;21/06/2023 08:00;167,2;14,24;25,2;82400000,00
23052;13172;25/06/2023 07:30;26/06/2023 07:45;165,6;15,2;28,88;88000000,00
23053;13172;25/06/2023 07:30;26/06/2023 07:45;165,6;15,2;28,88;88000000,00
23054;14618;26/06/2023 07:45;27/06/2023 07:50;163,2;14,56;26;85600000,00
23055;14618;26/06/2023 07:45;27/06/2023 07:50;163,2;14,56;26;85600000,00
23056;13171;02/07/2023 08:35;03/07/2023 08:35;168,8;NA;27,04;112000000,00
23057;13171;02/07/2023 08:35;03/07/2023 08:35;168,8;NA;27,04;112000000,00
23060;14618;03/07/2023 07:30;04/07/2023 07:30;166,4;16,08;27,6;103200000,00
23061;14618;03/07/2023 07:30;04/07/2023 07:30;166,4;16,08;27,6;103200000,00
23062;14618;09/07/2023 07:45;10/07/2023 07:45;166,4;16,16;22,8;101600000,00
23063;14618;09/07/2023 07:45;10/07/2023 07:45;166,4;16,16;22,8;101600000,00
23064;13171;10/07/2023 07:20;11/07/2023 07:20;165,12;15,92;24,88;112000000,00
23065;13171;10/07/2023 07:20;11/07/2023 07:20;165,12;15,92;24,88;112000000,00
23067;13171;16/07/2023 07:30;17/07/2023 07:35;168;16,08;25,52;130400000,00
23068;13172;17/07/2023 07:35;18/07/2023 07:35;165,6;14,16;21,92;131200000,00
23069;13172;17/07/2023 07:35;18/07/2023 07:35;165,6;14,16;21,92;131200000,00
23066;13171;23/07/2023 08:30;24/07/2023 08:40;164;14,24;26,32;86400000,00
23070;13171;23/07/2023 08:30;24/07/2023 08:40;164;14,24;26,32;86400000,00
23071;14618;24/07/2023 07:00;25/07/2023 07:00;167,76;12,72;25,52;76800000,00
23072;14618;24/07/2023 07:00;25/07/2023 07:00;167,76;12,72;25,52;76800000,00
23073;13171;30/07/2023 07:10;31/07/2023 09:15;168;15,36;29,84;111200000,00
23074;13172;31/07/2023 07:15;01/08/2023 07:30;84,16;17,84;29,2;83200000,00
23075;13171;30/07/2023 07:10;31/07/2023 09:15;168;15,36;29,84;111200000,00
23076;14618;31/07/2023 07:00;01/08/2023 07:00;84,16;14,16;25,36;92000000,00
23077;13171;03/09/2023 07:45;04/09/2023 12:00;160,16;18,24;26,56;83200000,00
23078;13171;03/09/2023 07:45;04/09/2023 08:00;160,16;18,24;26,56;83200000,00
23079;13172;04/09/2023 07:45;05/09/2023 08:00;164;14,56;28,16;92800000,00
23080;13172;04/09/2023 07:45;05/09/2023 08:00;164;14,56;28,16;92800000,00
23081;13171;11/09/2023 08:00;12/09/2023 08:00;166,4;14,64;24,48;79840000,00
23082;13171;11/09/2023 08:00;12/09/2023 08:00;166,4;14,64;24,48;79840000,00
23083;13172;12/09/2023 07:45;13/09/2023 07:15;167,2;14,72;28,4;91200000,00
23084;13172;12/09/2023 07:45;13/09/2023 07:15;167,2;14,72;28,4;91200000,00
23085;13171;24/09/2023 08:15;25/09/2023 08:15;160;15,44;29,44;100000000,00
23086;13171;24/09/2023 08:15;25/09/2023 08:15;160;15,44;29,44;100000000,00
23087;14618;25/09/2023 07:30;26/09/2023 09:30;160;15,04;27,44;82480000,00
23088;14618;25/09/2023 07:30;26/09/2023 09:30;160;15,04;27,44;82480000,00
23089;14618;01/10/2023 08:30;02/10/2023 08:30;160;16,8;26,56;86400000,00
23090;14618;01/10/2023 08:30;02/10/2023 08:30;160;16,8;26,56;86400000,00
23091;13172;02/10/2023 07:30;03/10/2023 08:30;160;15,44;25,6;96000000,00
23092;13172;02/10/2023 07:30;03/10/2023 08:30;160;15,44;25,6;96000000,00
23094;13172;08/10/2023 08:00;09/10/2023 13:15;160;21,52;23,36;94400000,00
23095;13172;08/10/2023 08:00;09/10/2023 13:15;160;21,52;23,36;94400000,00
23096;13172;16/10/2023 07:30;17/10/2023 09:00;160;16,64;28,48;91200000,00
23097;14618;16/10/2023 07:30;17/10/2023 09:00;80;17,28;30,8;89600000,00
23098;13172;16/10/2023 07:30;17/10/2023 09:00;160;16,64;28,48;91200000,00
23099;13172;22/10/2023 09:30;23/10/2023 10:00;160;16,8;30;81600000,00
23100;13172;22/10/2023 09:30;23/10/2023 10:00;160;16,8;30;81600000,00
23101;14618;23/10/2023 07:20;24/10/2023 07:00;160;14,96;23,28;82400000,00
23102;14618;23/10/2023 07:20;24/10/2023 07:00;160;14,96;23,28;82400000,00
23103;14618;30/10/2023 09:00;31/10/2023 10:00;160;15,12;23,52;83200000,00
23104;13172;30/10/2023 09:45;31/10/2023 09:15;80;16,16;27,76;90400000,00
23105;14618;30/10/2023 09:00;31/10/2023 10:00;160;15,12;23,52;83200000,00
23108;14618;05/11/2023 09:45;06/11/2023 09:00;160;16,64;28,88;99200000,00
23109;14618;05/11/2023 09:45;06/11/2023 09:00;160;16,64;28,88;99200000,00
23110;13171;06/11/2023 12:03;07/11/2023 11:30;160;16,16;25,76;84000000,00
23111;13171;06/11/2023 12:03;07/11/2023 11:30;160;16,16;25,76;84000000,00
23112;14618;12/11/2023 09:10;13/11/2023 08:50;160;16,48;27,6;97600000,00
23113;14618;12/11/2023 09:10;13/11/2023 08:50;160;16,48;27,6;97600000,00
P23462;13171;13/11/2023 07:25;14/11/2023 07:20;80;12,96;25,52;142400000,00
23114;13172;13/11/2023 07:25;14/11/2023 07:00;160;14,88;26,24;104000000,00
23117;13172;13/11/2023 07:25;14/11/2023 07:00;160;14,88;26,24;104000000,00
23118;13171;19/11/2023 07:30;20/11/2023 08:20;160;16,88;26,56;104000000,00
23119;13171;19/11/2023 07:30;20/11/2023 08:20;160;16,88;26,56;104000000,00
23120;13172;20/11/2023 07:45;21/11/2023 07:30;80;16,24;26,8;104800000,00
23121;14618;20/11/2023 07:50;21/11/2023 07:30;80;11,2;24,4;143200000,00
23124;13171;26/11/2023 07:35;27/11/2023 07:30;83,2;15,92;25,52;88800000,00
23125;13171;26/11/2023 07:35;27/11/2023 07:30;84;15,92;25,52;88800000,00
23126;14618;27/11/2023 07:15;28/11/2023 07:00;80,8;14;28,48;134400000,00
23127;14618;27/11/2023 07:15;28/11/2023 07:00;80,4;14;28,48;134400000,00
23131;13171;03/12/2023 06:55;04/12/2023 07:00;84;15,44;22,32;144800000,00
23132;14618;03/12/2023 07:00;04/12/2023 07:00;176;15,6;24,96;101600000,00
23133;14618;03/12/2023 07:00;04/12/2023 07:00;176;15,6;24,96;101600000,00
23136;13171;17/12/2023 07:45;18/12/2023 08:40;166,4;15,68;32,64;122400000,00
23137;13171;17/12/2023 07:45;18/12/2023 13:55;166,4;15,68;26,56;167200000,00
23138;13172;18/12/2023 07:55;19/12/2023 06:50;160;12,88;18,08;252000000,00
23139;13172;18/12/2023 07:55;19/12/2023 13:15;160;12,88;21,84;56800000,00
24004;13172;15/01/2024 07:30;16/01/2024 11:30;168;14,48;24,48;79120000,00
24002;14618;16/01/2024 09:00;17/01/2024 09:05;168;13,68;19,36;88800000,00
24003;14618;16/01/2024 09:00;17/01/2024 09:05;168;13,68;19,36;88800000,00
24005;14618;19/01/2024 07:15;20/01/2024 08:15;82,64;15,28;30,48;79760000,00
24007;13171;19/01/2024 07:30;20/01/2024 08:25;167,12;14,4;32,88;79440000,00
24008;13171;19/01/2024 07:30;20/01/2024 08:25;167,12;14,4;32,88;79440000,00
24009;13172;22/01/2024 07:30;23/01/2024 06:45;160;14,4;23,68;91200000,00
24010;13171;26/01/2024 07:00;27/01/2024 07:10;160;15,52;30,64;95200000,00
24012;13172;22/01/2024 07:30;23/01/2024 06:45;160;14,4;23,68;91200000,00
24020;13171;26/01/2024 07:00;27/01/2024 07:10;160;15,52;30,64;95200000,00
24019;13171;02/02/2024 07:20;03/02/2024 07:00;80;14,32;26,48;127000000,00
24020;13171;26/01/2024 07:00;27/01/2024 07:10;160;15,52;30,64;95200000,00
24021;14618;02/02/2024 07:10;03/02/2024 08:30;80;15,52;26,48;101600000,00
24014;13171;09/02/2024 07:35;10/02/2024 07:25;160;12,16;17,68;37040000,00
24027;13171;09/02/2024 07:35;10/02/2024 07:25;160;12,16;17,68;37040000,00
24031;13171;16/02/2024 07:30;17/02/2024 08:00;82,4;15,04;28,96;66640000,00
24035;13171;01/03/2024 07:00;02/03/2024 07:30;168,4;14,08;20,88;88000000,00
24036;13171;01/03/2024 07:00;02/03/2024 07:30;168,4;14,08;20,88;88000000,00
24041;13171;08/03/2024 07:20;09/03/2024 08:10;163,2;13,28;24,64;134400000,00
24042;13171;08/03/2024 07:20;09/03/2024 08:10;163,2;13,28;24,64;134400000,00
24043;13172;11/03/2024 07:15;12/03/2024 07:25;165,6;13,84;23,2;109600000,00
24045;13172;11/03/2024 07:15;12/03/2024 07:25;165,6;13,84;23,2;109600000,00
24044;13171;15/03/2024 07:20;16/03/2024 09:00;167,2;14,8;25,28;104800000,00
24049;13171;15/03/2024 07:20;16/03/2024 09:00;167,2;14,8;25,28;104800000,00
24050;14618;22/03/2024 07:24;23/03/2024 08:28;168,32;14,72;25,92;102400000,00
24051;14618;22/03/2024 07:24;23/03/2024 08:28;168,32;14,72;25,92;102400000,00
24055;13172;12/04/2024 07:14;13/04/2024 08:05;168,048;13,52;25,6;159200000,00
24056;13172;12/04/2024 07:14;13/04/2024 08:05;168,048;13,52;25,6;159200000,00
24054;14618;15/04/2024 07:17;16/04/2024 07:48;168;13,28;24,16;121600000,00
24057;14618;15/04/2024 07:17;16/04/2024 07:48;168;13,28;24,16;121600000,00
24060;13171;19/04/2024 07:46;20/04/2024 08:35;168;14,88;26,56;125600000,00
24061;13171;19/04/2024 07:46;20/04/2024 08:35;168;14,88;26,56;125600000,00
24063;13172;22/04/2024 07:19;23/04/2024 10:05;164,88;14,16;20,8;72640000,00
24064;13172;22/04/2024 07:19;23/04/2024 10:05;164,88;14,16;20,8;72640000,00
24067;13171;26/04/2024 07:17;27/04/2024 10:22;168,16;16,96;26,4;120000000,00
24070;13171;26/04/2024 07:17;27/04/2024 10:22;168,16;16,96;26,4;120000000,00
24071;14618;29/04/2024 07:45;30/04/2024 09:30;80,4;17,84;27,36;84000000,00
24072;13172;13/05/2024 08:16;14/05/2024 08:33;84;13,04;24,32;144800000,00
24073;13171;13/05/2024 07:54;14/05/2024 08:31;167,6;13,84;24,32;142400000,00
24074;14618;17/05/2024 07:15;18/05/2024 08:08;168,032;14,08;23,68;129600000,00
24075;13171;13/05/2024 07:54;14/05/2024 08:31;167,6;13,84;24,32;142400000,00
24076;14618;17/05/2024 07:15;18/05/2024 08:08;168,032;14,08;23,68;129600000,00
24077;13172;20/05/2024 07:14;21/05/2024 07:01;166,88;16,24;26,48;122400000,00
24078;13172;20/05/2024 07:14;21/05/2024 07:01;166,88;16,24;26,48;122400000,00
24081;13172;27/05/2024 08:05;28/05/2024 07:54;161,2;16,24;25,52;122400000,00
24083;13171;24/05/2024 07:26;25/05/2024 08:55;166,24;14,08;26,32;124800000,00
24084;13171;24/05/2024 07:26;25/05/2024 08:55;166,24;14,08;26,32;124800000,00
24085;13172;27/05/2024 08:05;28/05/2024 07:54;161,2;16,24;25,52;122400000,00
24088;13171;31/05/2024 07:46;01/06/2024 07:56;166,8;16;25,52;129600000,00
24089;13171;31/05/2024 07:46;01/06/2024 07:56;166,8;16;25,52;129600000,00
24091;13172;03/06/2024 07:03;04/06/2024 07:03;166,8;17,2;25,6;104000000,00
24092;13172;03/06/2024 07:03;04/06/2024 07:03;166,8;17,2;25,6;104000000,00
24095;13171;10/06/2024 07:09;11/06/2024 07:34;168,24;12,08;21,44;83200000,00
24097;13171;10/06/2024 07:09;11/06/2024 07:34;168,24;12,08;21,44;83200000,00
24098;14618;14/06/2024 08:00;15/06/2024 11:04;86,536;17,44;29,6;54240000,00
24101;13171;28/06/2024 07:16;29/06/2024 07:06;167,52;16,16;28,08;91200000,00
24103;13171;28/06/2024 07:16;29/06/2024 07:06;167,52;16,16;28,08;91200000,00
24104;13172;01/07/2024 07:01;02/07/2024 08:01;169,04;14,4;26,32;82400000,00
24105;13172;01/07/2024 07:01;02/07/2024 08:01;169,04;14,4;26,32;82400000,00
24108;13171;05/07/2024 07:04;06/07/2024 07:22;168,8;17,52;28,08;92800000,00
